artists,name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Beyoncé,BREAK MY SOUL,2KukL7UlQ8TdvpaA7bY3ZJ,0.687,0.887,1,-5.04,0,0.0826,0.0575,2.21e-06,0.27,0.853,114.941
Ed Marquis,Pon de Replay,3DsjHcLYMExprXJECT4QQP,0.529,0.717,6,-7.049,0,0.24,0.123,0.000707,0.0363,0.481,103.99
Alex Newell,Kill The Lights (with Nile Rodgers) - Audien Remix,4iCKHGl4ij4YMwFrUZLGEQ,0.647,0.879,7,-0.93,1,0.0831,0.0837,1.98e-06,0.538,0.427,126.042
Rihanna,Only Girl (In The World),2ENexcMEMsYk0rVJigVD3i,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911
Lady Gaga,Rain On Me (with Ariana Grande),7ju97lgwC2rKQ6wwsf9no9,0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056
Lady Gaga,Applause,5ka2ajep9OAvU5Sgduhiex,0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.143,0.738,139.945
Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),2Cd9iWfcOpGDHLz6tVA3G4,0.766,0.873,11,-6.381,0,0.143,0.00627,0,0.0764,0.743,126.988
Lady Gaga,Born This Way,30XU4suKzCeoCK9YFzdufg,0.587,0.828,11,-5.108,1,0.161,0.00327,0,0.331,0.494,123.907
Icona Pop,I Love It (feat. Charli XCX),2U8NXPTXZWG2O0ye2sYRiH,0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,125.916
Farruko,Pepas,5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001
The Kiffness,Ievan Polkka - Club Remix,3hModOZHTKRQBfjIHPHZt7,0.823,0.889,1,-5.784,0,0.0427,0.00522,0.0285,0.216,0.863,119.024
VINCINT,Higher (feat. Alex Newell),3x0oc9CVW5RwLx4EHW6JZk,0.714,0.805,2,-4.715,1,0.102,0.0476,0,0.334,0.277,125.097
Lizzo,Grrrls,7Mto5DGHzHXzF1hpsMRtYK,0.889,0.449,0,-7.63,1,0.293,0.0313,0,0.0581,0.911,137.941
Tank and The Bangas,No ID,0uqSFWmkLNLCcElKvETogM,0.776,0.626,11,-8.567,0,0.183,0.0749,0.000162,0.141,0.566,104.998
Beyoncé,Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165
Taylor Swift,Shake It Off,0cqRj7pUJDkTCEsJkx8snD,0.647,0.8,7,-5.384,1,0.165,0.0647,0,0.334,0.942,160.078
Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128
Miley Cyrus,Flowers,0yLdNVWF3Srea0uzk55zFn,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999
Beyoncé,Daddy Lessons,71OvX5NNLrmz7rpq1ANTQn,0.643,0.503,7,-8.37,1,0.216,0.273,0,0.349,0.598,90.886
P!nk,TRUSTFALL,4FWbsd91QSvgr1dSWwW51e,0.636,0.888,8,-3.889,1,0.0945,0.00162,0.000216,0.147,0.25,122.032
Pitbull,Café Con Leche,5vXhgXRIUWMD62onAqA5xy,0.916,0.852,4,-2.933,0,0.0876,0.084,0.000166,0.03,0.628,128.04
Calvin Harris,Miracle (with Ellie Goulding) - Hardwell Remix,4LwbGXpHNvKkwiyLFBsBBQ,0.573,0.763,9,-10.011,1,0.0607,0.00142,0.0609,0.0935,0.197,138.005
Nicki Minaj,Coco Chanel (feat. Foxy Brown),3l76pDmPK3gzvNC3ckVJxn,0.752,0.88,1,-4.115,1,0.156,0.132,0.000538,0.63,0.595,121.319
Pitbull,Me Pone Mal,1i7WoaZrt8jGH9vM0GKYdn,0.868,0.78,11,-3.92,1,0.0654,0.0521,1.51e-06,0.105,0.606,114.056
Oliver Heldens,10 Out Of 10 (feat. Kylie Minogue),11TSwkrxQ7HEOhM8nvzhpj,0.74,0.822,10,-6.443,0,0.0399,0.0602,0.00841,0.0687,0.544,122.034
Martina Budde,Radio - Extended Mix,4OzrqDb7EEh18vMlu1QYZ8,0.788,0.596,2,-8.637,1,0.046,0.000178,0.625,0.107,0.506,125.993
ISOxo,Aarena,3HkkNeSyUvMSztnhekyvIG,0.535,0.995,9,-1.57,1,0.317,0.0025,0.715,0.104,0.0362,139.985
Peg Parnevik,"Vi är tjejer, vi är bäst",3zQ3R8MK5CYqHh4SbezFlY,0.729,0.555,9,-8.626,0,0.163,0.0204,0.00179,0.105,0.629,127.954
